GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P050001,P050001.2000,P050002,P050002.2000,P050003,P050003.2000
47001,050,47,001,28940,314,,,Anderson County,75129,34717,71330,32451,72586,,940,,71646,
47003,050,47,003,43180,999,,,Bedford County,45058,18360,37586,14990,43927,,805,,43122,
47005,050,47,005,99999,999,,,Benton County,16489,8975,16537,8595,16144,,186,,15958,
47007,050,47,007,99999,999,,,Bledsoe County,12876,5718,12367,5142,11496,,153,,11343,
47009,050,47,009,28940,314,,,Blount County,123010,55266,105823,47059,120062,,1327,,118735,
47011,050,47,011,17420,174,,,Bradley County,98963,41395,87965,36820,95523,,1306,,94217,
47013,050,47,013,29220,314,,,Campbell County,40716,19966,39854,18527,39513,,633,,38880,
47015,050,47,015,34980,400,,,Cannon County,13801,6037,12826,5420,13410,,179,,13231,
47017,050,47,017,99999,999,,,Carroll County,28522,13184,29475,13057,27181,,344,,26837,
47019,050,47,019,27740,304,,,Carter County,57424,27746,56742,25920,54963,,622,,54341,
47021,050,47,021,34980,400,,,Cheatham County,39105,15663,35912,13508,37921,,519,,37402,
47023,050,47,023,27180,297,,,Chester County,17131,6980,15540,6178,15681,,205,,15476,
47025,050,47,025,99999,999,,,Claiborne County,32213,14859,29862,13262,30199,,353,,29846,
47027,050,47,027,99999,999,,,Clay County,7861,4282,7976,3959,7715,,108,,7607,
47029,050,47,029,35460,314,,,Cocke County,35662,17459,33565,15844,34441,,449,,33992,
47031,050,47,031,46100,999,,,Coffee County,52796,23434,48014,20746,51509,,684,,50825,
47033,050,47,033,99999,999,,,Crockett County,14586,6425,14532,6138,14163,,170,,13993,
47035,050,47,035,18900,999,,,Cumberland County,56053,28151,46802,22442,54548,,704,,53844,
47037,050,47,037,34980,400,,,Davidson County,626681,283978,569891,252977,585098,,11208,,573890,
47039,050,47,039,99999,999,,,Decatur County,11757,6873,11731,6448,11421,,140,,11281,
47041,050,47,041,99999,999,,,DeKalb County,18723,9405,17423,8409,18203,,273,,17930,
47043,050,47,043,34980,400,,,Dickson County,49666,20820,43156,17614,48202,,670,,47532,
47045,050,47,045,20540,999,,,Dyer County,38335,16703,37279,16123,36982,,465,,36517,
47047,050,47,047,32820,999,,,Fayette County,38413,15669,28806,11214,37050,,798,,36252,
47049,050,47,049,99999,999,,,Fentress County,17959,8961,16625,7598,17731,,243,,17488,
47051,050,47,051,46100,999,,,Franklin County,41052,18697,39270,16813,38931,,496,,38435,
47053,050,47,053,26480,297,,,Gibson County,49683,21999,48152,21059,48006,,782,,47224,
47055,050,47,055,99999,999,,,Giles County,29485,13844,29447,13113,28536,,427,,28109,
47057,050,47,057,34100,314,,,Grainger County,22657,10894,20659,9732,22120,,278,,21842,
47059,050,47,059,24620,999,,,Greene County,68831,32025,62909,28116,65721,,827,,64894,
47061,050,47,061,99999,999,,,Grundy County,13703,6397,14332,6282,13328,,208,,13120,
47063,050,47,063,34100,314,,,Hamblen County,62544,26963,58128,24693,60726,,949,,59777,
47065,050,47,065,16860,174,,,Hamilton County,336463,151107,307896,134692,321333,,6242,,315091,
47067,050,47,067,99999,999,,,Hancock County,6819,3624,6786,3280,6626,,75,,6551,
47069,050,47,069,99999,999,,,Hardeman County,27253,10851,28105,10694,23116,,417,,22699,
47071,050,47,071,99999,999,,,Hardin County,26026,13946,25578,12807,25485,,313,,25172,
47073,050,47,073,28700,304,,,Hawkins County,56833,26870,53563,24416,55761,,616,,55145,
47075,050,47,075,15140,999,,,Haywood County,18787,8315,19797,8086,18378,,339,,18039,
47077,050,47,077,99999,999,,,Henderson County,27769,12776,25522,11446,27309,,314,,26995,
47079,050,47,079,37540,999,,,Henry County,32330,17054,31115,15783,31311,,358,,30953,
47081,050,47,081,34980,400,,,Hickman County,24690,10311,22295,8904,22889,,287,,22602,
47083,050,47,083,99999,999,,,Houston County,8426,4188,8088,3901,7988,,127,,7861,
47085,050,47,085,99999,999,,,Humphreys County,18538,8865,17929,8482,18107,,230,,17877,
47087,050,47,087,18260,999,,,Jackson County,11638,5843,10984,5163,11291,,181,,11110,
47089,050,47,089,34100,314,,,Jefferson County,51407,23499,44294,19319,48967,,589,,48378,
47091,050,47,091,99999,999,,,Johnson County,18244,8956,17499,7879,15903,,190,,15713,
47093,050,47,093,28940,314,,,Knox County,432226,194949,382032,171439,416110,,5321,,410789,
47095,050,47,095,99999,999,,,Lake County,7832,2598,7954,2716,5228,,66,,5162,
47097,050,47,097,99999,999,,,Lauderdale County,27815,11256,27101,10563,24630,,405,,24225,
47099,050,47,099,29980,999,,,Lawrence County,41869,18177,39926,16821,41087,,685,,40402,
47101,050,47,101,99999,999,,,Lewis County,12161,5470,11367,4821,11813,,145,,11668,
47103,050,47,103,99999,999,,,Lincoln County,33361,15241,31340,13999,32789,,444,,32345,
47105,050,47,105,28940,314,,,Loudon County,48556,21725,39086,17277,47293,,658,,46635,
47107,050,47,107,11940,174,,,McMinn County,52266,23341,49015,21626,50291,,804,,49487,
47109,050,47,109,99999,999,,,McNairy County,26075,11933,24653,11219,25416,,373,,25043,
