GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P035001,P035001.2000
47001,050,47,001,28940,314,,,Anderson County,75129,34717,71330,32451,20824,20513
47003,050,47,003,43180,999,,,Bedford County,45058,18360,37586,14990,11901,10350
47005,050,47,005,99999,999,,,Benton County,16489,8975,16537,8595,4698,4888
47007,050,47,007,99999,999,,,Bledsoe County,12876,5718,12367,5142,3339,3312
47009,050,47,009,28940,314,,,Blount County,123010,55266,105823,47059,34764,30642
47011,050,47,011,17420,174,,,Bradley County,98963,41395,87965,36820,26867,24660
47013,050,47,013,29220,314,,,Campbell County,40716,19966,39854,18527,11438,11575
47015,050,47,015,34980,400,,,Cannon County,13801,6037,12826,5420,3824,3644
47017,050,47,017,99999,999,,,Carroll County,28522,13184,29475,13057,7869,8394
47019,050,47,019,27740,304,,,Carter County,57424,27746,56742,25920,16103,16351
47021,050,47,021,34980,400,,,Cheatham County,39105,15663,35912,13508,10841,10162
47023,050,47,023,27180,297,,,Chester County,17131,6980,15540,6178,4528,4198
47025,050,47,025,99999,999,,,Claiborne County,32213,14859,29862,13262,8963,8680
47027,050,47,027,99999,999,,,Clay County,7861,4282,7976,3959,2240,2333
47029,050,47,029,35460,314,,,Cocke County,35662,17459,33565,15844,10057,9720
47031,050,47,031,46100,999,,,Coffee County,52796,23434,48014,20746,14518,13589
47033,050,47,033,99999,999,,,Crockett County,14586,6425,14532,6138,4056,4065
47035,050,47,035,18900,999,,,Cumberland County,56053,28151,46802,22442,16954,14518
47037,050,47,037,34980,400,,,Davidson County,626681,283978,569891,252977,145166,138106
47039,050,47,039,99999,999,,,Decatur County,11757,6873,11731,6448,3277,3415
47041,050,47,041,99999,999,,,DeKalb County,18723,9405,17423,8409,5140,4989
47043,050,47,043,34980,400,,,Dickson County,49666,20820,43156,17614,13598,12175
47045,050,47,045,20540,999,,,Dyer County,38335,16703,37279,16123,10549,10459
47047,050,47,047,32820,999,,,Fayette County,38413,15669,28806,11214,11029,8020
47049,050,47,049,99999,999,,,Fentress County,17959,8961,16625,7598,5015,4819
47051,050,47,051,46100,999,,,Franklin County,41052,18697,39270,16813,11430,11160
