GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,H004001,H004001.2000,H004002,H004002.2000,H004003,H004003.2000,H004004,H004004.2000
47001,050,47,001,28940,314,,,Anderson County,75129,34717,71330,32451,31253,,12736,,9140,,9377,
47003,050,47,003,43180,999,,,Bedford County,45058,18360,37586,14990,16530,,7508,,4026,,4996,
47005,050,47,005,99999,999,,,Benton County,16489,8975,16537,8595,7063,,2699,,2806,,1558,
47007,050,47,007,99999,999,,,Bledsoe County,12876,5718,12367,5142,4697,,1764,,1961,,972,
47009,050,47,009,28940,314,,,Blount County,123010,55266,105823,47059,49265,,23069,,13462,,12734,
47011,050,47,011,17420,174,,,Bradley County,98963,41395,87965,36820,37947,,16364,,8889,,12694,
47013,050,47,013,29220,314,,,Campbell County,40716,19966,39854,18527,16354,,6436,,5185,,4733,
47015,050,47,015,34980,400,,,Cannon County,13801,6037,12826,5420,5472,,2401,,1790,,1281,
47017,050,47,017,99999,999,,,Carroll County,28522,13184,29475,13057,11507,,4565,,4121,,2821,
47019,050,47,019,27740,304,,,Carter County,57424,27746,56742,25920,24197,,8613,,8534,,7050,
47021,050,47,021,34980,400,,,Cheatham County,39105,15663,35912,13508,14520,,8392,,3515,,2613,
47023,050,47,023,27180,297,,,Chester County,17131,6980,15540,6178,6208,,2625,,1909,,1674,
47025,050,47,025,99999,999,,,Claiborne County,32213,14859,29862,13262,12853,,4896,,4830,,3127,
47027,050,47,027,99999,999,,,Clay County,7861,4282,7976,3959,3358,,1113,,1504,,741,
47029,050,47,029,35460,314,,,Cocke County,35662,17459,33565,15844,14788,,5195,,5466,,4127,
47031,050,47,031,46100,999,,,Coffee County,52796,23434,48014,20746,20926,,8591,,6012,,6323,
47033,050,47,033,99999,999,,,Crockett County,14586,6425,14532,6138,5709,,2241,,1892,,1576,
47035,050,47,035,18900,999,,,Cumberland County,56053,28151,46802,22442,23791,,10427,,8289,,5075,
47037,050,47,037,34980,400,,,Davidson County,626681,283978,569891,252977,259499,,109233,,35882,,114384,
47039,050,47,039,99999,999,,,Decatur County,11757,6873,11731,6448,4927,,1756,,2078,,1093,
47041,050,47,041,99999,999,,,DeKalb County,18723,9405,17423,8409,7420,,2942,,2369,,2109,
47043,050,47,043,34980,400,,,Dickson County,49666,20820,43156,17614,19107,,9180,,4804,,5123,
47045,050,47,045,20540,999,,,Dyer County,38335,16703,37279,16123,15183,,6129,,3527,,5527,
47047,050,47,047,32820,999,,,Fayette County,38413,15669,28806,11214,14505,,8510,,3403,,2592,
47049,050,47,049,99999,999,,,Fentress County,17959,8961,16625,7598,7250,,2852,,2759,,1639,
47051,050,47,051,46100,999,,,Franklin County,41052,18697,39270,16813,16011,,6918,,5368,,3725,
47053,050,47,053,26480,297,,,Gibson County,49683,21999,48152,21059,19690,,8068,,5824,,5798,
47055,050,47,055,99999,999,,,Giles County,29485,13844,29447,13113,11875,,4914,,3724,,3237,
47057,050,47,057,34100,314,,,Grainger County,22657,10894,20659,9732,9029,,3599,,3703,,1727,
47059,050,47,059,24620,999,,,Greene County,68831,32025,62909,28116,28018,,11498,,9338,,7182,
47061,050,47,061,99999,999,,,Grundy County,13703,6397,14332,6282,5405,,1926,,2377,,1102,
47063,050,47,063,34100,314,,,Hamblen County,62544,26963,58128,24693,24560,,10248,,6756,,7556,
47065,050,47,065,16860,174,,,Hamilton County,336463,151107,307896,134692,136682,,59316,,28612,,48754,
47067,050,47,067,99999,999,,,Hancock County,6819,3624,6786,3280,2825,,880,,1277,,668,
47069,050,47,069,99999,999,,,Hardeman County,27253,10851,28105,10694,9301,,3828,,2906,,2567,
47071,050,47,071,99999,999,,,Hardin County,26026,13946,25578,12807,10643,,4044,,3953,,2646,
47073,050,47,073,28700,304,,,Hawkins County,56833,26870,53563,24416,23343,,9599,,8075,,5669,
47075,050,47,075,15140,999,,,Haywood County,18787,8315,19797,8086,7459,,2861,,1734,,2864,
47077,050,47,077,99999,999,,,Henderson County,27769,12776,25522,11446,11224,,4629,,3791,,2804,
47079,050,47,079,37540,999,,,Henry County,32330,17054,31115,15783,13604,,5619,,4499,,3486,
47081,050,47,081,34980,400,,,Hickman County,24690,10311,22295,8904,8976,,4058,,2866,,2052,
47083,050,47,083,99999,999,,,Houston County,8426,4188,8088,3901,3349,,1365,,1179,,805,
47085,050,47,085,99999,999,,,Humphreys County,18538,8865,17929,8482,7454,,3062,,2561,,1831,
47087,050,47,087,18260,999,,,Jackson County,11638,5843,10984,5163,4789,,1806,,1913,,1070,
47089,050,47,089,34100,314,,,Jefferson County,51407,23499,44294,19319,19864,,8898,,6075,,4891,
47091,050,47,091,99999,999,,,Johnson County,18244,8956,17499,7879,7195,,2607,,2868,,1720,
47093,050,47,093,28940,314,,,Knox County,432226,194949,382032,171439,177249,,81304,,36108,,59837,
47095,050,47,095,99999,999,,,Lake County,7832,2598,7954,2716,2270,,681,,619,,970,
47097,050,47,097,99999,999,,,Lauderdale County,27815,11256,27101,10563,9795,,3693,,2513,,3589,
47099,050,47,099,29980,999,,,Lawrence County,41869,18177,39926,16821,16275,,6765,,5425,,4085,
47101,050,47,101,99999,999,,,Lewis County,12161,5470,11367,4821,4781,,1997,,1663,,1121,
47103,050,47,103,99999,999,,,Lincoln County,33361,15241,31340,13999,13382,,5898,,4151,,3333,
47105,050,47,105,28940,314,,,Loudon County,48556,21725,39086,17277,19826,,9538,,5997,,4291,
47107,050,47,107,11940,174,,,McMinn County,52266,23341,49015,21626,20865,,8658,,6567,,5640,
47109,050,47,109,99999,999,,,McNairy County,26075,11933,24653,11219,10326,,4143,,3661,,2522,
47111,050,47,111,34980,400,,,Macon County,22248,9861,20386,8894,8561,,3463,,2868,,2230,
47113,050,47,113,27180,297,,,Madison County,98294,41877,91837,38205,38073,,16719,,8058,,13296,
47115,050,47,115,16860,174,,,Marion County,28237,12954,27776,12140,11403,,4810,,3943,,2650,
47117,050,47,117,30280,999,,,Marshall County,30617,13119,26767,11181,11850,,5498,,3063,,3289,
47119,050,47,119,17940,400,,,Maury County,80956,35254,69498,28674,31663,,15497,,7316,,8850,
47121,050,47,121,99999,999,,,Meigs County,11753,5628,11086,5188,4686,,1935,,1782,,969,
47123,050,47,123,99999,999,,,Monroe County,44519,20787,38961,17287,17711,,7574,,5732,,4405,
47125,050,47,125,17300,999,,,Montgomery County,172331,70098,134768,52167,63673,,30811,,8695,,24167,
47127,050,47,127,46100,999,,,Moore County,6362,2915,5740,2515,2492,,1119,,962,,411,
47129,050,47,129,99999,999,,,Morgan County,21987,8920,19757,7714,7692,,3159,,2872,,1661,
47131,050,47,131,46460,542,,,Obion County,31807,14659,32450,14489,13077,,5018,,3894,,4165,
47133,050,47,133,18260,999,,,Overton County,22083,10295,20118,9168,8820,,3527,,3366,,1927,
47135,050,47,135,99999,999,,,Perry County,7915,4599,7631,4115,3160,,1072,,1471,,617,
47137,050,47,137,99999,999,,,Pickett County,5077,3462,4945,2956,2177,,887,,901,,389,
47139,050,47,139,17420,174,,,Polk County,16825,7991,16050,7369,6653,,2550,,2722,,1381,
47141,050,47,141,18260,999,,,Putnam County,72321,31882,62315,26916,28930,,10500,,7435,,10995,
47143,050,47,143,99999,999,,,Rhea County,31809,14365,28400,12565,12276,,4811,,3903,,3562,
47145,050,47,145,25340,314,,,Roane County,54181,25716,51910,23369,22376,,9444,,7385,,5547,
47147,050,47,147,34980,400,,,Robertson County,66283,26086,54433,20995,24197,,13194,,5102,,5901,
47149,050,47,149,34980,400,,,Rutherford County,262604,102968,182023,70616,96232,,52007,,13442,,30783,
47151,050,47,151,99999,999,,,Scott County,22228,9910,21127,8909,8671,,3503,,2914,,2254,
47153,050,47,153,16860,174,,,Sequatchie County,14112,6368,11370,4916,5519,,2328,,1776,,1415,
47155,050,47,155,42940,314,,,Sevier County,89889,55918,71170,37252,35343,,14848,,9435,,11060,
